YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
199912,2413866,5721642,1,,,,,,,
199912,2413866,5721640,1,,,,,,,
199912,2414532,5721665,1,,,,,,,
199912,2414653,5721723,1,,,,,,,
199912,2413932,5721821,1,,,,,,,
199912,2413933,5721822,1,,,,,,,
199912,1088761,5721861,1,,,,,,,
199912,1088761,5721862,1,,,,,,,
199912,1088761,5721863,1,,,,,,,
199911,2413765,5722147,1,,,,,,,
199911,2413765,5722148,1,,,,,,,
199911,2413765,5722149,1,,,,,,,
199907,2408384,5706016,1,,,WILLIAMSON,41.08,-93.27,4105,9316
199907,2408385,5706017,1,,,WAUKEE,41.62,-93.9,4137,9354
199907,2408385,5706018,1,,,VAN METER,41.53,-93.97,4132,9358
199906,2409571,5705373,1,,,,,,,
199905,2409599,5705475,1,1,N,TOLBERT,34.23,-99.38,3414,9923
199905,2409599,5705476,1,7,W,LOCKETT,34.08,-99.48,3405,9929
199905,2413025,5723141,1,10,NW,KIMBALL,41.33,-103.8,4120,10348
199906,2413026,5723142,1,27,SW,AGATE,42.13,-104.15,4208,10409
199906,2413027,5723143,1,30,SW,AGATE,42.12,-104.2,4207,10412
199906,2413656,5723144,1,10,E,HARRISBURG,41.55,-103.55,4133,10333
199910,2414419,5722780,1,,,,,,,
199910,2414419,5722781,1,,,,,,,
199910,2414419,5722782,1,,,,,,,
199911,2414503,5722552,1,,,,,,,
199906,2410225,5704589,1,16,S,MEADE,37.05,-100.33,3703,10020
199906,2410225,5704590,1,,,SUBLETTE,37.48,-100.85,3729,10051
199905,2409600,5705785,2,2,S,SEMINOLE,35.22,-96.68,3513,9641
199905,2409600,5705786,1,4,E,SEMINOLE,35.23,-96.62,3514,9637
199905,2409600,5705787,1,,,LOYAL,35.97,-98.12,3558,9807
199905,2409600,5705788,1,,,DRUMMOND,36.3,-98.03,3618,9802
199905,2409600,5705789,1,8,E,PONCA CITY,36.7,-96.93,3642,9656
199907,2411042,5706706,1,,,BURLINGTON,48.28,-101.42,4817,10125
199905,2409595,5705867,1,6,S,RINGWOOD,36.3,-98.25,3618,9815
199905,2409595,5705868,1,2,W,OKARCHE,35.72,-98.02,3543,9801
199905,2409595,5705869,1,2,S,ANADARKO,35.03,-98.25,3502,9815
199907,2408379,5705870,1,,,DOW CITY,41.93,-95.5,4156,9530
199906,2408375,5705192,1,,,COCHRANTON,,,,
199906,2408375,5705193,1,,,CONNEAUT LAKE,41.6,-80.3,4136,8018
199906,2408344,5706287,1,2,S,OPELIKA,32.62,-85.37,3237,8522
199906,2408952,5706288,1,,,TALLADEGA,33.43,-86.1,3326,8606
199906,2408953,5706289,1,5,NW,SELMA,32.45,-87.08,3227,8705
199906,2409015,5706353,1,,,NAVARRE,,,,
199906,2409016,5706354,1,,,PENSACOLA,,,,
199906,2408970,5706351,1,7,N,THEDFORD,42.08,-100.58,4205,10035
199906,2408970,5706352,1,3,N,THEDFORD,42.03,-100.58,4202,10035
199906,2409289,5704605,1,,,SILVERTON,34.47,-101.3,3428,10118
